,name,categories,lat,lng
0,City Sightseeing Bus,Bus Station,52.37783463186643,4.8976194800524935
1,Martelaarsgracht,Bus Station,52.377654310546845,4.896091291991489
2,Busstation CS Stationsplein (C en D - GVB en Connexxion),Bus Station,52.37750244140625,4.90184211730957
3,Busstation Amsterdam Centraal,Bus Station,52.37992740102422,4.900199191930842
4,GVB Tickets & Info,Bus Station,52.377679269839476,4.900690103879828
5,Bus 42 Amsterdam CS - KNSM-eiland,Bus Station,52.37744050673897,4.901682870494957
6,Hop On Bus,Bus Line,52.376734243614315,4.896977632259512
7,Buslijn 22 naar Indische Buurt,Bus Line,52.37784020959983,4.897483762931921
8,Bus 22 richting Spaarndammerbuurt,Bus Line,52.377978232252964,4.898087918151945
9,Bus 142 Amsterdam Centraal - Wilnis,Bus Line,52.37768195342558,4.900825023651123
10,Bus 59 Centraal Station - Amstelstation,Bus Line,52.37706846086338,4.902223611828084
11,Bus 392 Amsterdam Centraal - Zaandam,Bus Line,52.37720810890085,4.902017895204671
12,Lijn 21 | Geuzenveld,Bus Line,52.378168205890375,4.897506447640017
13,Bus 18 Centraal Station - Slotervaart,Bus Line,52.37818309631855,4.897389364234775
14,Bus 391 Amsterdam CS - Zaandam Zaanse Schans,Bus Line,52.37737653326146,4.901863805237706
15,Bus 394 / N94 Amsterdam CS - Zaandam,Bus Line,52.3773725824611,4.901922651800721
16,Bus 35 Centraal Station - Molenwijk,Bus Line,52.37746752122499,4.901833118848628
17,Bus 34 Centraal Station - Buikslotermeerplein,Bus Line,52.377546288152544,4.901763511563737
18,Bus 33 Centraal Station - Nieuwendam,Bus Line,52.37759054417202,4.901718281777454
19,Bus 32 Centraal Station IJzijde - Buikslotermeerplein,Bus Line,52.37762187586827,4.901752236372637
20,Bus 308 Amsterdam CS IJsei - Purmerend Weidevenne,Bus Line,52.37703744174629,4.9039144320988814
21,Prins Hendrikkade 143,Bus Line,52.37355125424195,4.906462728841558
22,Lijn 315 | Marken via Monnickendam,Bus Line,52.37920240341626,4.902305479800347
23,Buslijn 314,Bus Line,52.379790828551016,4.9001383781433105
24,Buslijn 308 Amsterdam Centraal - Purmerend,Bus Line,52.3797964061793,4.90013944802662
25,Buslijn 301 Amsterdam Centraal - De Rijp,Bus Line,52.379895614750524,4.899988174438477
26,Buslijn 304,Bus Line,52.38003898862606,4.899953920382079
27,Buslijn 311 Amsterdam Centraal - Marken,Bus Line,52.37998041675817,4.900436200847255
28,Buslijn 306 Amsterdam Centraal - Purmerend/Middenbeemster,Bus Line,52.38002202275197,4.900276842212028
29,Buslijn 307,Bus Line,52.37999427340535,4.900468368443546
30,Buslijn 316 Amsterdam Centraal - Edam,Bus Line,52.38039717219412,4.89991044808989
31,Hop On-Hop Off City Sightseeing Bus,Bus Line,52.369558458026006,4.9037555170167915
32,Busstation Elandsgracht,Bus Station,52.36918271548583,4.877108712652416
33,Bus 397 Marnixstraat - Schiphol,Bus Station,52.369047,4.877636
34,Busparkeerplaats Museumplein,Bus Station,52.3588843293214,4.885424361081246
35,1e C. Huygensstraat,Bus Station,52.362473,4.874534
36,Bus 80 Amsterdam - Zandvoort,Bus Line,52.36901086916792,4.8773417378317685
37,Beukenplein,Bus Station,52.35745644195229,4.918393893885547
38,Nachtbus 354,Bus Line,52.363225371233135,4.881532155429764
39,Bus- / Tramhalte Witte de Withstraat,Bus Station,52.36484849704207,4.859012862080376
40,Tram- en Bushalte Azartplein,Bus Station,52.37678186109864,4.937360938598735
41,Bus 21 Geuzenveld - Centraal Station,Bus Line,52.381277961118165,4.870315625936542
42,Amstelkade,Bus Station,52.3485019764454,4.904347776118845
43,Lijn 4,Bus Line,52.39050688344092,4.919850349898661
44,Bus 48 Borneo Eiland - Sloterdijk,Bus Line,52.39165691557903,4.878514069361194
45,Bus 43 CS - Borneoplein,Bus Station,52.37011392171649,4.938405550537141
46,Bus 22 Spaarndammerbuurt - Muiderpoortstation,Bus Line,52.38990809865408,4.873702526092529
47,Station Amsterdam Centraal,Train Station,52.37878224866535,4.900374412536621
48,Bus 197,Bus Line,52.35599484429067,4.878683727844725
49,Tramhalte Admiraal De Ruyterweg / Haarlemmerweg,Bus Line,52.371320762160906,4.8618869707791035
50,Bus 41 richting gaasperplas,Bus Line,52.36120764658231,4.932963565923406
51,Bus 33 Nieuwendam - Centraal Station,Bus Line,52.39268099503631,4.92705530300251
52,Bus 22 richting Houthavens,Bus Line,52.36560453358231,4.939007358795676
